episode,win_rate,avg_reward,accuracy,epsilon
146,23.0,-63.62,52.286282306163024,0.09620547418960962
147,28.999999999999996,-45.36,54.26889106967615,0.09572444681866157
148,30.0,-37.14,56.09065155807366,0.09524582458456826
149,19.0,-71.2,52.30618253189402,0.09476959546164541
150,31.0,-43.37,53.266331658291456,0.09429574748433718
151,28.999999999999996,-46.86,53.74625374625375,0.09382426874691549
152,17.0,-71.65,53.838862559241704,0.09335514740318092
153,22.0,-60.37,53.83104125736738,0.09288837166616501
154,18.0,-73.28,52.705410821643284,0.09242392980783419
155,18.0,-68.77,53.905496624879454,0.09196181015879502
156,26.0,-51.92,54.63414634146342,0.09150200110800105
157,17.0,-76.84,52.56410256410257,0.09104449110246104
158,21.0,-64.83,53.64431486880466,0.09058926864694875
159,23.0,-61.69,53.65384615384615,0.090136322303714
160,28.000000000000004,-46.43,54.43159922928709,0.08968564069219544
161,28.999999999999996,-44.39,54.35643564356436,0.08923721248873447
162,19.0,-63.36,54.27728613569322,0.08879102642629079
163,28.000000000000004,-36.17,57.37855178735105,0.08834707129415934
164,19.0,-73.45,52.83757338551859,0.08790533593768854
165,30.0,-38.8,55.69377990430622,0.0874658092580001
166,21.0,-62.02,54.36432637571158,0.0870284802117101
167,26.0,-48.83,55.014326647564474,0.08659333781065155
168,17.0,-77.28,52.584493041749504,0.0861603711215983
169,20.0,-70.91,52.00803212851406,0.0857295692659903
170,23.0,-56.39,54.51950523311132,0.08530092141966035
171,21.0,-61.42,54.25531914893617,0.08487441681256205
172,28.999999999999996,-41.52,55.362318840579704,0.08445004472849925
173,25.0,-50.98,55.54520037278658,0.08402779450485676
174,28.000000000000004,-43.05,55.71030640668524,0.08360765553233247
175,25.0,-50.61,55.152671755725194,0.0831896172546708
176,18.0,-73.47,52.83757338551859,0.08277366916839746
177,25.0,-53.42,53.74878286270691,0.08235980082255547
178,21.0,-64.53,53.20829220138204,0.08194800181844268
179,25.0,-54.73,54.34362934362934,0.08153826180935046
180,18.0,-70.61,53.83141762452107,0.08113057050030371
181,21.0,-55.37,56.209150326797385,0.0807249176478022
182,20.0,-61.9,54.685990338164245,0.08032129305956318
183,18.0,-69.08,53.68421052631579,0.07991968659426536
184,21.0,-65.85,53.11284046692607,0.07952008816129404
185,31.0,-31.46,57.116451016635864,0.07912248772048756
186,23.0,-55.23,55.126999059266225,0.07872687528188513
187,21.0,-62.16,54.421768707483,0.0783332409054757
188,24.0,-59.15,53.463414634146346,0.07794157470094833
189,19.0,-67.65,53.75609756097561,0.07755186682744358
190,24.0,-52.12,54.932301740812385,0.07716410749330636
191,23.0,-57.0,55.179090029041625,0.07677828695583983
192,21.0,-61.91,54.77767265846736,0.07639439552106063
193,21.0,-65.81,52.826510721247566,0.07601242354345533
194,23.0,-55.72,54.413191076624635,0.07563236142573805
195,25.0,-55.21,54.13461538461538,0.07525419961860937
196,19.0,-67.1,53.48605577689243,0.07487792862051632
197,28.000000000000004,-42.08,55.179090029041625,0.07450353897741373
198,28.000000000000004,-46.15,54.71331389698737,0.07413102128252666
199,26.0,-49.69,54.52775073028238,0.07376036617611402
200,24.0,-49.87,55.02846299810247,0.07339156434523345
201,27.0,-51.47,53.43811394891945,0.07302460652350727
202,27.0,-43.95,56.15530303030303,0.07265948349088973
203,21.0,-62.46,53.48837209302325,0.07229618607343528
204,23.0,-57.14,54.65898174831892,0.0719347051430681
205,24.0,-51.84,55.512572533849124,0.07157503161735276
206,27.0,-41.1,56.481481481481474,0.071217156459266
207,26.0,-47.29,54.581280788177345,0.07086107067696967
208,26.0,-55.22,53.607214428857716,0.07050676532358482
209,19.0,-70.66,53.01681503461919,0.0701542314969669
210,28.000000000000004,-42.27,55.92417061611374,0.06980346033948207
211,22.0,-57.8,54.853911404335534,0.06945444303778466
212,23.0,-55.8,55.46139359698682,0.06910717082259574
213,28.000000000000004,-37.77,57.07635009310987,0.06876163496848275
214,25.0,-50.34,54.666666666666664,0.06841782679364034
215,24.0,-57.6,53.85375494071146,0.06807573765967213
216,24.0,-55.97,54.424357754519505,0.06773535897137377
217,23.0,-60.64,52.72727272727272,0.0673966821765169
218,32.0,-31.71,55.64278704612365,0.0670596987656343
219,19.0,-65.27,54.69348659003831,0.06672440027180614
